journal,issn,doi,url
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/muu011,https://doi.org/10.1093/jopart/muu011
Political Science Quarterly,0032-3195,10.1093/psquar/qqae001,https://doi.org/10.1093/psquar/qqae001
Science and Public Policy,0302-3427,10.3152/030234211x12924093660237,https://doi.org/10.3152/030234211x12924093660237
African Affairs,0001-9909,10.1093/afraf/ady032,https://doi.org/10.1093/afraf/ady032
Foreign Policy Analysis,1743-8586,10.1111/fpa.12084,https://doi.org/10.1111/fpa.12084
Chinese Journal of International Politics,1750-8916,10.1093/cjip/pou046,https://doi.org/10.1093/cjip/pou046
Foreign Policy Analysis,1743-8586,10.1093/fpa/orac033,https://doi.org/10.1093/fpa/orac033
Publius-the Journal of Federalism,0048-5950,10.1093/publius/pjaa035,https://doi.org/10.1093/publius/pjaa035
Policy and Society,1449-4035,10.1080/14494035.2021.1955485,https://doi.org/10.1080/14494035.2021.1955485
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/muy029,https://doi.org/10.1093/jopart/muy029
International Affairs,0020-5850,10.1093/ia/iiae119,https://doi.org/10.1093/ia/iiae119
European Journal of International Law,0938-5428,10.1093/ejil/chz015,https://doi.org/10.1093/ejil/chz015
Public Opinion Quarterly,0033-362X,10.1093/poq/nfs042,https://doi.org/10.1093/poq/nfs042
International Political Sociology,1749-5679,10.1111/ips.2010.4.issue-2,https://doi.org/10.1111/ips.2010.4.issue-2
International Studies Review,1521-9488,10.1111/j.1468-2486.2011.01077.x,https://doi.org/10.1111/j.1468-2486.2011.01077.x
International Journal of Transitional Justice,1752-7716,10.1093/ijtj/ijae031,https://doi.org/10.1093/ijtj/ijae031
Publius-the Journal of Federalism,0048-5950,10.1093/publius/pjr052,https://doi.org/10.1093/publius/pjr052
Science and Public Policy,0302-3427,10.1093/scipol/scw080,https://doi.org/10.1093/scipol/scw080
Political Science Quarterly,0032-3195,10.1093/psquar/qqad131,https://doi.org/10.1093/psquar/qqad131
Human Rights Law Review,1461-7781,10.1093/hrlr/ngw038,https://doi.org/10.1093/hrlr/ngw038
Policy and Society,1449-4035,10.1016/j.polsoc.2016.07.002,https://doi.org/10.1016/j.polsoc.2016.07.002
International Affairs,0020-5850,10.1093/ia/iix024,https://doi.org/10.1093/ia/iix024
Socio-Economic Review,1475-1461,10.1093/ser/mwx012,https://doi.org/10.1093/ser/mwx012
International Affairs,0020-5850,10.1111/j.1468-2346.2010.00868.x,https://doi.org/10.1111/j.1468-2346.2010.00868.x
International Studies Review,1521-9488,10.1093/isr/viaa030,https://doi.org/10.1093/isr/viaa030
Science and Public Policy,0302-3427,10.1093/scipol/scad006,https://doi.org/10.1093/scipol/scad006
Science and Public Policy,0302-3427,10.1093/scipol/scae054,https://doi.org/10.1093/scipol/scae054
Foreign Policy Analysis,1743-8586,10.1093/fpa/orae031,https://doi.org/10.1093/fpa/orae031
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/muu050,https://doi.org/10.1093/jopart/muu050
Policy and Society,1449-4035,10.1093/polsoc/puad015,https://doi.org/10.1093/polsoc/puad015
Foreign Policy Analysis,1743-8586,10.1093/fpa/orae021,https://doi.org/10.1093/fpa/orae021
Socio-Economic Review,1475-1461,10.1093/ser/mwv032,https://doi.org/10.1093/ser/mwv032
Parliamentary Affairs,0031-2290,10.1093/pa/gsac016,https://doi.org/10.1093/pa/gsac016
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/mus051,https://doi.org/10.1093/jopart/mus051
Public Opinion Quarterly,0033-362X,10.1093/poq/nfad013,https://doi.org/10.1093/poq/nfad013
Science and Public Policy,0302-3427,10.1093/scipol/scac073,https://doi.org/10.1093/scipol/scac073
African Affairs,0001-9909,10.1093/afraf/adt056,https://doi.org/10.1093/afraf/adt056
Chinese Journal of International Politics,1750-8916,10.1093/cjip/pou036,https://doi.org/10.1093/cjip/pou036
Policy and Society,1449-4035,10.1093/polsoc/puad019,https://doi.org/10.1093/polsoc/puad019
International Studies Quarterly,0020-8833,10.1093/isq/sqab045,https://doi.org/10.1093/isq/sqab045
Publius-the Journal of Federalism,0048-5950,10.1093/publius/pjw037,https://doi.org/10.1093/publius/pjw037
International Studies Quarterly,0020-8833,10.1111/j.1468-2478.2009.00579.x,https://doi.org/10.1111/j.1468-2478.2009.00579.x
African Affairs,0001-9909,10.1093/afraf/adu064,https://doi.org/10.1093/afraf/adu064
International Affairs,0020-5850,10.1093/ia/iiy002,https://doi.org/10.1093/ia/iiy002
Foreign Policy Analysis,1743-8586,10.1111/fpa.2009.6.issue-1,https://doi.org/10.1111/fpa.2009.6.issue-1
International Affairs,0020-5850,10.1093/ia/iiab179,https://doi.org/10.1093/ia/iiab179
Policy and Society,1449-4035,10.1016/j.polsoc.2015.05.003,https://doi.org/10.1016/j.polsoc.2015.05.003
International Affairs,0020-5850,10.1093/ia/iiad038,https://doi.org/10.1093/ia/iiad038
International Affairs,0020-5850,10.1111/1468-2346.12492,https://doi.org/10.1111/1468-2346.12492
Public Opinion Quarterly,0033-362X,10.1093/poq/nfu078,https://doi.org/10.1093/poq/nfu078
Parliamentary Affairs,0031-2290,10.1093/pa/gss023,https://doi.org/10.1093/pa/gss023
International Political Sociology,1749-5679,10.1111/j.1749-5687.2012.00160.x,https://doi.org/10.1111/j.1749-5687.2012.00160.x
Political Science Quarterly,0032-3195,10.1002/polq.12388,https://doi.org/10.1002/polq.12388
Publius-the Journal of Federalism,0048-5950,10.1093/publius/pjaa017,https://doi.org/10.1093/publius/pjaa017
Public Opinion Quarterly,0033-362X,10.1093/poq/nfv056,https://doi.org/10.1093/poq/nfv056
Parliamentary Affairs,0031-2290,10.1093/pa/gsaa025,https://doi.org/10.1093/pa/gsaa025
International Affairs,0020-5850,10.1093/ia/iiae028,https://doi.org/10.1093/ia/iiae028
International Affairs,0020-5850,10.1093/ia/iiaa078,https://doi.org/10.1093/ia/iiaa078
International Studies Quarterly,0020-8833,10.1111/isqu.12049,https://doi.org/10.1111/isqu.12049
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/muy037,https://doi.org/10.1093/jopart/muy037
Public Opinion Quarterly,0033-362X,10.1093/poq/nfaa054,https://doi.org/10.1093/poq/nfaa054
International Studies Perspectives,1528-3577,10.1093/isp/ekab006,https://doi.org/10.1093/isp/ekab006
Foreign Policy Analysis,1743-8586,10.1093/fpa/orx001,https://doi.org/10.1093/fpa/orx001
International Studies Quarterly,0020-8833,10.1111/isqu.12167,https://doi.org/10.1111/isqu.12167
International Studies Quarterly,0020-8833,10.1093/isq/sqad036,https://doi.org/10.1093/isq/sqad036
International Studies Perspectives,1528-3577,10.1093/isp/ekz013,https://doi.org/10.1093/isp/ekz013
Public Opinion Quarterly,0033-362X,10.1093/poq/nft070,https://doi.org/10.1093/poq/nft070
European Journal of International Law,0938-5428,10.1093/ejil/chaa013,https://doi.org/10.1093/ejil/chaa013
International Studies Quarterly,0020-8833,10.1111/isqu.12129,https://doi.org/10.1111/isqu.12129
International Studies Review,1521-9488,10.1111/misr.12155,https://doi.org/10.1111/misr.12155
European Journal of International Law,0938-5428,10.1093/ejil/chy029,https://doi.org/10.1093/ejil/chy029
Policy and Society,1449-4035,10.1093/polsoc/puae007,https://doi.org/10.1093/polsoc/puae007
International Studies Quarterly,0020-8833,10.1111/isqu.12192,https://doi.org/10.1111/isqu.12192
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/muw012,https://doi.org/10.1093/jopart/muw012
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/muw069,https://doi.org/10.1093/jopart/muw069
Socio-Economic Review,1475-1461,10.1093/ser/mwx008,https://doi.org/10.1093/ser/mwx008
International Studies Perspectives,1528-3577,10.1093/isp/ekaa007,https://doi.org/10.1093/isp/ekaa007
International Studies Review,1521-9488,10.1111/j.1468-2486.2012.01136.x,https://doi.org/10.1111/j.1468-2486.2012.01136.x
Political Science Quarterly,0032-3195,10.1002/j.1538-165x.2012.tb01135.x,https://doi.org/10.1002/j.1538-165x.2012.tb01135.x
Socio-Economic Review,1475-1461,10.1093/soceco/mwz010,https://doi.org/10.1093/soceco/mwz010
Political Science Quarterly,0032-3195,10.1002/j.1538-165x.2011.tb00717.x,https://doi.org/10.1002/j.1538-165x.2011.tb00717.x
International Studies Quarterly,0020-8833,10.1093/isq/sqaa088,https://doi.org/10.1093/isq/sqaa088
International Studies Review,1521-9488,10.1111/j.1468-2486.2011.01016.x,https://doi.org/10.1111/j.1468-2486.2011.01016.x
International Studies Review,1521-9488,10.1093/isr/viy040,https://doi.org/10.1093/isr/viy040
Political Science Quarterly,0032-3195,10.1002/j.1538-165x.2011.tb02101.x,https://doi.org/10.1002/j.1538-165x.2011.tb02101.x
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/muy003,https://doi.org/10.1093/jopart/muy003
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/muu038,https://doi.org/10.1093/jopart/muu038
European Journal of International Law,0938-5428,10.1093/ejil/chx029,https://doi.org/10.1093/ejil/chx029
Political Science Quarterly,0032-3195,10.1002/j.1538-165x.2012.tb02272.x,https://doi.org/10.1002/j.1538-165x.2012.tb02272.x
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/muac039,https://doi.org/10.1093/jopart/muac039
International Studies Review,1521-9488,10.1111/misr.12218,https://doi.org/10.1111/misr.12218
Science and Public Policy,0302-3427,10.1093/scipol/scv011,https://doi.org/10.1093/scipol/scv011
Science and Public Policy,0302-3427,10.1093/scipol/sct088,https://doi.org/10.1093/scipol/sct088
International Studies Review,1521-9488,10.1093/isr/viz004,https://doi.org/10.1093/isr/viz004
Science and Public Policy,0302-3427,10.1093/scipol/scae012,https://doi.org/10.1093/scipol/scae012
International Affairs,0020-5850,10.1093/ia/iiz138,https://doi.org/10.1093/ia/iiz138
International Studies Quarterly,0020-8833,10.1111/j.1468-2478.2012.00718.x,https://doi.org/10.1111/j.1468-2478.2012.00718.x
Socio-Economic Review,1475-1461,10.1093/ser/mwv011,https://doi.org/10.1093/ser/mwv011
Socio-Economic Review,1475-1461,10.1093/ser/mwac027,https://doi.org/10.1093/ser/mwac027
International Studies Review,1521-9488,10.1093/isr/vix034,https://doi.org/10.1093/isr/vix034
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/muw067,https://doi.org/10.1093/jopart/muw067
Public Opinion Quarterly,0033-362X,10.1093/poq/nfz029,https://doi.org/10.1093/poq/nfz029
International Affairs,0020-5850,10.1093/ia/iiaa094,https://doi.org/10.1093/ia/iiaa094
European Journal of International Law,0938-5428,10.1093/ejil/chr012,https://doi.org/10.1093/ejil/chr012
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/muw039,https://doi.org/10.1093/jopart/muw039
International Affairs,0020-5850,10.1111/1468-2346.12327,https://doi.org/10.1111/1468-2346.12327
Perspectives on Public Management and Governance,2398-4910,10.1093/ppmgov/gvab002,https://doi.org/10.1093/ppmgov/gvab002
International Political Sociology,1749-5679,10.1093/ips/olz018,https://doi.org/10.1093/ips/olz018
International Journal of Transitional Justice,1752-7716,10.1093/ijtj/iju016,https://doi.org/10.1093/ijtj/iju016
Public Opinion Quarterly,0033-362X,10.1093/poq/nfad055,https://doi.org/10.1093/poq/nfad055
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/mur052,https://doi.org/10.1093/jopart/mur052
Science and Public Policy,0302-3427,10.3152/030234211x12924093660075,https://doi.org/10.3152/030234211x12924093660075
Public Opinion Quarterly,0033-362X,10.1093/poq/nfs086,https://doi.org/10.1093/poq/nfs086
Political Science Quarterly,0032-3195,10.1093/psquar/qqad115,https://doi.org/10.1093/psquar/qqad115
International Affairs,0020-5850,10.1111/j.1468-2346.2011.01032.x,https://doi.org/10.1111/j.1468-2346.2011.01032.x
Parliamentary Affairs,0031-2290,10.1093/pa/gsr072,https://doi.org/10.1093/pa/gsr072
International Affairs,0020-5850,10.1111/1468-2346.12585,https://doi.org/10.1111/1468-2346.12585
Publius-the Journal of Federalism,0048-5950,10.1093/publius/pjz009,https://doi.org/10.1093/publius/pjz009
Science and Public Policy,0302-3427,10.1093/scipol/scs057,https://doi.org/10.1093/scipol/scs057
International Affairs,0020-5850,10.1093/ia/iiy225,https://doi.org/10.1093/ia/iiy225
Science and Public Policy,0302-3427,10.1093/scipol/scw057,https://doi.org/10.1093/scipol/scw057
European Journal of International Law,0938-5428,10.1093/ejil/chs041,https://doi.org/10.1093/ejil/chs041
Political Science Quarterly,0032-3195,10.1002/polq.13293,https://doi.org/10.1002/polq.13293
Publius-the Journal of Federalism,0048-5950,10.1093/publius/pjs010,https://doi.org/10.1093/publius/pjs010
European Journal of International Law,0938-5428,10.1093/ejil/chs083,https://doi.org/10.1093/ejil/chs083
Human Rights Law Review,1461-7781,10.1093/hrlr/ngv031,https://doi.org/10.1093/hrlr/ngv031
Political Science Quarterly,0032-3195,10.1002/j.1538-165x.2010.tb02022.x,https://doi.org/10.1002/j.1538-165x.2010.tb02022.x
European Journal of International Law,0938-5428,10.1093/ejil/chu071,https://doi.org/10.1093/ejil/chu071
International Affairs,0020-5850,10.1111/1468-2346.12286,https://doi.org/10.1111/1468-2346.12286
Publius-the Journal of Federalism,0048-5950,10.1093/publius/pjx025,https://doi.org/10.1093/publius/pjx025
International Journal of Public Opinion Research,0954-2892,10.1093/ijpor/edv044,https://doi.org/10.1093/ijpor/edv044
Human Rights Law Review,1461-7781,10.1093/hrlr/ngt040,https://doi.org/10.1093/hrlr/ngt040
International Affairs,0020-5850,10.1111/inta.2012.88.issue-6,https://doi.org/10.1111/inta.2012.88.issue-6
African Affairs,0001-9909,10.1093/afraf/adz006,https://doi.org/10.1093/afraf/adz006
International Studies Review,1521-9488,10.1111/j.1468-2486.2011.01046.x,https://doi.org/10.1111/j.1468-2486.2011.01046.x
Political Science Quarterly,0032-3195,10.1002/polq.12103,https://doi.org/10.1002/polq.12103
Foreign Policy Analysis,1743-8586,10.1111/j.1743-8594.2010.00111.x,https://doi.org/10.1111/j.1743-8594.2010.00111.x
International Studies Review,1521-9488,10.1111/misr.12068,https://doi.org/10.1111/misr.12068
Publius-the Journal of Federalism,0048-5950,10.1093/publius/pjr024,https://doi.org/10.1093/publius/pjr024
International Political Sociology,1749-5679,10.1111/j.1749-5687.2011.00141.x,https://doi.org/10.1111/j.1749-5687.2011.00141.x
Parliamentary Affairs,0031-2290,10.1093/pa/gsac003,https://doi.org/10.1093/pa/gsac003
International Journal of Public Opinion Research,0954-2892,10.1093/ijpor/edx006,https://doi.org/10.1093/ijpor/edx006
Political Science Quarterly,0032-3195,10.1002/j.1538-165x.2011.tb02158.x,https://doi.org/10.1002/j.1538-165x.2011.tb02158.x
Political Science Quarterly,0032-3195,10.1002/polq.12089,https://doi.org/10.1002/polq.12089
African Affairs,0001-9909,10.1093/afraf/adt009,https://doi.org/10.1093/afraf/adt009
Science and Public Policy,0302-3427,10.1093/scipol/scab044,https://doi.org/10.1093/scipol/scab044
Political Science Quarterly,0032-3195,10.1002/polq.12964,https://doi.org/10.1002/polq.12964
International Studies Review,1521-9488,10.1093/isr/viaa064,https://doi.org/10.1093/isr/viaa064
Political Science Quarterly,0032-3195,10.1002/j.1538-165x.2010.tb01975.x,https://doi.org/10.1002/j.1538-165x.2010.tb01975.x
Political Science Quarterly,0032-3195,10.1002/polq.13353,https://doi.org/10.1002/polq.13353
Public Opinion Quarterly,0033-362X,10.1093/poq/nfw089,https://doi.org/10.1093/poq/nfw089
Political Science Quarterly,0032-3195,10.1002/polq.12490,https://doi.org/10.1002/polq.12490
International Political Sociology,1749-5679,10.1111/j.1749-5687.2009.00094.x,https://doi.org/10.1111/j.1749-5687.2009.00094.x
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/muz014,https://doi.org/10.1093/jopart/muz014
International Journal of Transitional Justice,1752-7716,10.1093/ijtj/ijw017,https://doi.org/10.1093/ijtj/ijw017
Public Opinion Quarterly,0033-362X,10.1093/poq/nfx001,https://doi.org/10.1093/poq/nfx001
Public Opinion Quarterly,0033-362X,10.1093/poq/nfab055,https://doi.org/10.1093/poq/nfab055
International Affairs,0020-5850,10.1093/ia/iiae190,https://doi.org/10.1093/ia/iiae190
International Affairs,0020-5850,10.1111/1468-2346.12753,https://doi.org/10.1111/1468-2346.12753
African Affairs,0001-9909,10.1093/afraf/adq032,https://doi.org/10.1093/afraf/adq032
International Studies Quarterly,0020-8833,10.1093/isq/sqz097,https://doi.org/10.1093/isq/sqz097
African Affairs,0001-9909,10.1093/afraf/adab007,https://doi.org/10.1093/afraf/adab007
African Affairs,0001-9909,10.1093/afraf/adac010,https://doi.org/10.1093/afraf/adac010
International Journal of Public Opinion Research,0954-2892,10.1093/ijpor/edq048,https://doi.org/10.1093/ijpor/edq048
Science and Public Policy,0302-3427,10.3152/030234210x496619,https://doi.org/10.3152/030234210x496619
European Journal of International Law,0938-5428,10.1093/ejil/chac065,https://doi.org/10.1093/ejil/chac065
International Studies Review,1521-9488,10.1093/isr/viz011,https://doi.org/10.1093/isr/viz011
International Affairs,0020-5850,10.1093/ia/iix203,https://doi.org/10.1093/ia/iix203
International Studies Review,1521-9488,10.1111/misr.12071,https://doi.org/10.1111/misr.12071
International Affairs,0020-5850,10.1111/1468-2346.12496,https://doi.org/10.1111/1468-2346.12496
International Studies Review,1521-9488,10.1111/j.1468-2486.2012.01105.x,https://doi.org/10.1111/j.1468-2486.2012.01105.x
African Affairs,0001-9909,10.1093/afraf/adw060,https://doi.org/10.1093/afraf/adw060
Foreign Policy Analysis,1743-8586,10.1093/fpa/orad029,https://doi.org/10.1093/fpa/orad029
International Affairs,0020-5850,10.1093/ia/iiy028,https://doi.org/10.1093/ia/iiy028
Human Rights Law Review,1461-7781,10.1093/hrlr/ngq007,https://doi.org/10.1093/hrlr/ngq007
Policy and Society,1449-4035,10.1016/j.polsoc.2016.11.004,https://doi.org/10.1016/j.polsoc.2016.11.004
International Studies Review,1521-9488,10.1111/j.1468-2486.2010.00938.x,https://doi.org/10.1111/j.1468-2486.2010.00938.x
Socio-Economic Review,1475-1461,10.1093/ser/mwr002,https://doi.org/10.1093/ser/mwr002
Perspectives on Public Management and Governance,2398-4910,10.1093/ppmgov/gvab023,https://doi.org/10.1093/ppmgov/gvab023
Science and Public Policy,0302-3427,10.1093/scipol/scad082,https://doi.org/10.1093/scipol/scad082
European Journal of International Law,0938-5428,10.1093/ejil/chab043,https://doi.org/10.1093/ejil/chab043
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/muw050,https://doi.org/10.1093/jopart/muw050
Human Rights Law Review,1461-7781,10.1093/hrlr/ngs045,https://doi.org/10.1093/hrlr/ngs045
International Affairs,0020-5850,10.1093/ia/iiae269,https://doi.org/10.1093/ia/iiae269
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/muw057,https://doi.org/10.1093/jopart/muw057
Public Opinion Quarterly,0033-362X,10.1093/poq/nfs057,https://doi.org/10.1093/poq/nfs057
International Studies Quarterly,0020-8833,10.1093/isq/sqae001,https://doi.org/10.1093/isq/sqae001
Foreign Policy Analysis,1743-8586,10.1111/j.1743-8594.2012.00179.x,https://doi.org/10.1111/j.1743-8594.2012.00179.x
Parliamentary Affairs,0031-2290,10.1093/pa/gsu023,https://doi.org/10.1093/pa/gsu023
African Affairs,0001-9909,10.1093/afraf/adab032,https://doi.org/10.1093/afraf/adab032
Political Science Quarterly,0032-3195,10.1093/psquar/qqae018,https://doi.org/10.1093/psquar/qqae018
Political Science Quarterly,0032-3195,10.1093/psquar/qqad079,https://doi.org/10.1093/psquar/qqad079
International Affairs,0020-5850,10.1093/ia/iiz178,https://doi.org/10.1093/ia/iiz178
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/muu062,https://doi.org/10.1093/jopart/muu062
International Journal of Transitional Justice,1752-7716,10.1093/ijtj/iju004,https://doi.org/10.1093/ijtj/iju004
Science and Public Policy,0302-3427,10.1093/scipol/scs026,https://doi.org/10.1093/scipol/scs026
Public Opinion Quarterly,0033-362X,10.1093/poq/nfu072,https://doi.org/10.1093/poq/nfu072
Human Rights Law Review,1461-7781,10.1093/hrlr/ngaa027,https://doi.org/10.1093/hrlr/ngaa027
Public Opinion Quarterly,0033-362X,10.1093/poq/nfad049,https://doi.org/10.1093/poq/nfad049
Foreign Policy Analysis,1743-8586,10.1093/fpa/oraa016,https://doi.org/10.1093/fpa/oraa016
Publius-the Journal of Federalism,0048-5950,10.1093/publius/pjt031,https://doi.org/10.1093/publius/pjt031
Science and Public Policy,0302-3427,10.1093/scipol/scu018,https://doi.org/10.1093/scipol/scu018
International Studies Perspectives,1528-3577,10.1111/insp.2011.12.issue-2,https://doi.org/10.1111/insp.2011.12.issue-2
Socio-Economic Review,1475-1461,10.1093/ser/mwac060,https://doi.org/10.1093/ser/mwac060
International Studies Quarterly,0020-8833,10.1093/isq/sqz094,https://doi.org/10.1093/isq/sqz094
International Studies Review,1521-9488,10.1093/isr/viaa017,https://doi.org/10.1093/isr/viaa017
European Journal of International Law,0938-5428,10.1093/ejil/chaa051,https://doi.org/10.1093/ejil/chaa051
International Political Sociology,1749-5679,10.1111/ips.12002,https://doi.org/10.1111/ips.12002
European Journal of International Law,0938-5428,10.1093/ejil/chab109,https://doi.org/10.1093/ejil/chab109
African Affairs,0001-9909,10.1093/afraf/adaa027,https://doi.org/10.1093/afraf/adaa027
International Affairs,0020-5850,10.1111/1468-2346.12189,https://doi.org/10.1111/1468-2346.12189
Perspectives on Public Management and Governance,2398-4910,10.1093/ppmgov/gvaa010,https://doi.org/10.1093/ppmgov/gvaa010
International Affairs,0020-5850,10.1093/ia/iiad255,https://doi.org/10.1093/ia/iiad255
International Political Sociology,1749-5679,10.1093/ips/olab019,https://doi.org/10.1093/ips/olab019
International Affairs,0020-5850,10.1111/1468-2346.12760,https://doi.org/10.1111/1468-2346.12760
Public Opinion Quarterly,0033-362X,10.1093/poq/nfp100,https://doi.org/10.1093/poq/nfp100
Publius-the Journal of Federalism,0048-5950,10.1093/publius/pjae039,https://doi.org/10.1093/publius/pjae039
International Studies Quarterly,0020-8833,10.1093/isq/sqx017,https://doi.org/10.1093/isq/sqx017
International Affairs,0020-5850,10.1093/ia/iiw016,https://doi.org/10.1093/ia/iiw016
European Journal of International Law,0938-5428,10.1093/ejil/chx082,https://doi.org/10.1093/ejil/chx082
International Studies Review,1521-9488,10.1111/misr.12238,https://doi.org/10.1111/misr.12238
Parliamentary Affairs,0031-2290,10.1093/pa/gss019,https://doi.org/10.1093/pa/gss019
International Affairs,0020-5850,10.1093/ia/iiad036,https://doi.org/10.1093/ia/iiad036
European Journal of International Law,0938-5428,10.1093/ejil/chr098,https://doi.org/10.1093/ejil/chr098
Political Science Quarterly,0032-3195,10.1093/psquar/qqac027,https://doi.org/10.1093/psquar/qqac027
Policy and Society,1449-4035,10.1080/14494035.2018.1511194,https://doi.org/10.1080/14494035.2018.1511194
International Journal of Transitional Justice,1752-7716,10.1093/ijtj/iju021,https://doi.org/10.1093/ijtj/iju021
European Journal of International Law,0938-5428,10.1093/ejil/chv006,https://doi.org/10.1093/ejil/chv006
European Journal of International Law,0938-5428,10.1093/ejil/cht064,https://doi.org/10.1093/ejil/cht064
International Studies Review,1521-9488,10.1111/j.1468-2486.2011.01068.x,https://doi.org/10.1111/j.1468-2486.2011.01068.x
Human Rights Law Review,1461-7781,10.1093/hrlr/ngv011,https://doi.org/10.1093/hrlr/ngv011
Parliamentary Affairs,0031-2290,10.1093/pa/gsw016,https://doi.org/10.1093/pa/gsw016
International Studies Perspectives,1528-3577,10.1111/j.1528-3585.2010.00402.x,https://doi.org/10.1111/j.1528-3585.2010.00402.x
Perspectives on Public Management and Governance,2398-4910,10.1093/ppmgov/gvad003,https://doi.org/10.1093/ppmgov/gvad003
International Studies Review,1521-9488,10.1111/j.1468-2486.2012.01124.x,https://doi.org/10.1111/j.1468-2486.2012.01124.x
Science and Public Policy,0302-3427,10.1093/scipol/scx006,https://doi.org/10.1093/scipol/scx006
Science and Public Policy,0302-3427,10.1093/scipol/scv038,https://doi.org/10.1093/scipol/scv038
Public Opinion Quarterly,0033-362X,10.1093/poq/nft053,https://doi.org/10.1093/poq/nft053
International Affairs,0020-5850,10.1093/ia/iiae136,https://doi.org/10.1093/ia/iiae136
International Affairs,0020-5850,10.1093/ia/iiac103,https://doi.org/10.1093/ia/iiac103
Science and Public Policy,0302-3427,10.1093/scipol/scs112,https://doi.org/10.1093/scipol/scs112
International Affairs,0020-5850,10.1093/ia/iiy133,https://doi.org/10.1093/ia/iiy133
International Studies Perspectives,1528-3577,10.1111/j.1528-3585.2012.00497.x,https://doi.org/10.1111/j.1528-3585.2012.00497.x
Science and Public Policy,0302-3427,10.1093/scipol/scw037,https://doi.org/10.1093/scipol/scw037
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/muq025,https://doi.org/10.1093/jopart/muq025
International Affairs,0020-5850,10.1111/1468-2346.12319,https://doi.org/10.1111/1468-2346.12319
Parliamentary Affairs,0031-2290,10.1093/pa/gsab044,https://doi.org/10.1093/pa/gsab044
Parliamentary Affairs,0031-2290,10.1093/pa/gsx007,https://doi.org/10.1093/pa/gsx007
Public Opinion Quarterly,0033-362X,10.1093/poq/nfaa004,https://doi.org/10.1093/poq/nfaa004
Chinese Journal of International Politics,1750-8916,10.1093/cjip/pox014,https://doi.org/10.1093/cjip/pox014
International Studies Review,1521-9488,10.1093/isr/viad017,https://doi.org/10.1093/isr/viad017
